California All Grades All Formulations Retail Gasoline Prices
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=emm_epm0_pte_sca_dpg&f=m
08:12:52 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Month,California All Grades All Formulations Retail Gasoline Prices Dollars per Gallon
Apr 2022,5.692
Mar 2022,5.655
Feb 2022,4.66
Jan 2022,4.584
Dec 2021,4.597
Nov 2021,4.598
Oct 2021,4.4
Sep 2021,4.31
Aug 2021,4.319
Jul 2021,4.253
Jun 2021,4.182
May 2021,4.068
Apr 2021,3.911
Mar 2021,3.781
Feb 2021,3.434
Jan 2021,3.262
Dec 2020,3.143
Nov 2020,3.115
Oct 2020,3.137
Sep 2020,3.174
Aug 2020,3.156
Jul 2020,3.102
Jun 2020,2.972
May 2020,2.771
Apr 2020,2.827
Mar 2020,3.262
Feb 2020,3.447
Jan 2020,3.489
Dec 2019,3.61
Nov 2019,3.944
Oct 2019,4.116
Sep 2019,3.687
Aug 2019,3.555
Jul 2019,3.668
Jun 2019,3.787
May 2019,4.019
Apr 2019,3.894
Mar 2019,3.342
Feb 2019,3.236
Jan 2019,3.232
Dec 2018,3.368
Nov 2018,3.632
Oct 2018,3.76
Sep 2018,3.588
Aug 2018,3.556
Jul 2018,3.605
Jun 2018,3.673
May 2018,3.69
Apr 2018,3.617
Mar 2018,3.476
Feb 2018,3.418
Jan 2018,3.269
Dec 2017,3.187
Nov 2017,3.294
Oct 2017,3.137
Sep 2017,3.22
Aug 2017,3.073
Jul 2017,3.005
Jun 2017,3.08
May 2017,3.101
Apr 2017,3.067
Mar 2017,3.059
Feb 2017,2.946
Jan 2017,2.848
Dec 2016,2.738
Nov 2016,2.788
Oct 2016,2.862
Sep 2016,2.803
Aug 2016,2.745
Jul 2016,2.911
Jun 2016,2.93
May 2016,2.855
Apr 2016,2.822
Mar 2016,2.679
Feb 2016,2.477
Jan 2016,2.823
Dec 2015,2.776
Nov 2015,2.819
Oct 2015,2.945
Sep 2015,3.175
Aug 2015,3.594
Jul 2015,3.812
Jun 2015,3.596
May 2015,3.804
Apr 2015,3.261
Mar 2015,3.388
Feb 2015,2.756
Jan 2015,2.596
Dec 2014,2.916
Nov 2014,3.234
Oct 2014,3.585
Sep 2014,3.821
Aug 2014,3.961
Jul 2014,4.11
Jun 2014,4.163
May 2014,4.22
Apr 2014,4.21
Mar 2014,3.984
Feb 2014,3.726
Jan 2014,3.666
Dec 2013,3.642
Nov 2013,3.641
Oct 2013,3.829
Sep 2013,3.989
Aug 2013,3.919
Jul 2013,4.056
Jun 2013,4.05
May 2013,4.051
Apr 2013,4.031
Mar 2013,4.192
Feb 2013,4.127
Jan 2013,3.678
Dec 2012,3.628
Nov 2012,3.893
Oct 2012,4.458
Sep 2012,4.211
Aug 2012,4.109
Jul 2012,3.821
Jun 2012,4.133
May 2012,4.353
Apr 2012,4.292
Mar 2012,4.414
Feb 2012,4.027
Jan 2012,3.747
Dec 2011,3.648
Nov 2011,3.848
Oct 2011,3.89
Sep 2011,3.971
Aug 2011,3.823
Jul 2011,3.844
Jun 2011,3.965
May 2011,4.229
Apr 2011,4.206
Mar 2011,4.002
Feb 2011,3.576
Jan 2011,3.389
Dec 2010,3.297
Nov 2010,3.205
Oct 2010,3.146
Sep 2010,3.064
Aug 2010,3.186
Jul 2010,3.171
Jun 2010,3.134
May 2010,3.136
Apr 2010,3.138
Mar 2010,3.104
Feb 2010,2.993
Jan 2010,3.065
Dec 2009,2.964
Nov 2009,3.006
Oct 2009,3.062
Sep 2009,3.169
Aug 2009,3.057
Jul 2009,2.92
Jun 2009,2.969
May 2009,2.531
Apr 2009,2.377
Mar 2009,2.239
Feb 2009,2.265
Jan 2009,2.051
Dec 2008,1.871
Nov 2008,2.507
Oct 2008,3.44
Sep 2008,3.842
Aug 2008,4.128
Jul 2008,4.511
Jun 2008,4.531
May 2008,4.015
Apr 2008,3.846
Mar 2008,3.609
Feb 2008,3.231
Jan 2008,3.296
Dec 2007,3.353
Nov 2007,3.394
Oct 2007,3.112
Sep 2007,2.922
Aug 2007,2.948
Jul 2007,3.174
Jun 2007,3.329
May 2007,3.485
Apr 2007,3.339
Mar 2007,3.105
Feb 2007,2.713
Jan 2007,2.616
Dec 2006,2.587
Nov 2006,2.508
Oct 2006,2.593
Sep 2006,2.937
Aug 2006,3.212
Jul 2006,3.26
Jun 2006,3.26
May 2006,3.337
Apr 2006,2.925
Mar 2006,2.624
Feb 2006,2.54
Jan 2006,2.424
Dec 2005,2.319
Nov 2005,2.57
Oct 2005,2.926
Sep 2005,3.032
Aug 2005,2.721
Jul 2005,2.559
Jun 2005,2.41
May 2005,2.52
Apr 2005,2.596
Mar 2005,2.346
Feb 2005,2.163
Jan 2005,2.016
Dec 2004,2.143
Nov 2004,2.35
Oct 2004,2.376
Sep 2004,2.115
